

Omaha 486051
Nehawka 173
Hay Springs 599

Ord 2113
Winslow 19

Dakota City 2081
Cedar Rapids 382
Lawrence 272
Syracuse 1941
Valparaiso 595
Panama 235
Gandy 34
Gibbon 1878
Lebanon 46
Grant 1197
Manley 167
Reynolds 57
Bruno 95
Sunol 57
Superior 1825
Ainsworth 1616
Wood Lake 46
Greenwood 595
Pender 1115
Inland 58
Tecumseh 1694
Broadwater 95
Oak 54
Wakefield 1522
Burwell 1087
Maskell 58
Stanton 1520
Paxton 516
Hartington 1517
Hebron 1458
Sutherland 1313
Roseland 263
Clarks 344
Osceola 875
Roscoe 44
Goehner 181
Lemoyne 44
Mullen 500
Wellfleet 72
Elba 192
Elsie 102
Odell 260
Louisville 1319
Palisade 294
Deweese 42
Newman Grove 667
Cheney 164
Crab Orchard 46
Verdon 164
Foster 42
La Platte 50
Lamar 28
Kramer 26
North Bend 1279
Garland 210
Norman 32
Wynot 216
Creighton 1147
Laurel 972
Minatare 715
Wauneta 549
Harbine 56
Edgar 428
Harrisburg 99
Princeton 51
Garrison 55
Eustis 389
Stockham 32
Nickerson 312
Berea 49
Bellwood 407
Lodgepole 312
Ponca 907
Lewiston 55
Ong 49
Fort Calhoun 1108
Dunning 80
Venango 157
Verdigre 554
Gross 3
Table Rock 233
Blue Springs 282
Richfield 42
Elyria 50
Nenzel 17
Friend 954
Randolph 879
Emerald 45
Cotesfield 29
Gresham 219
Farnam 182
Cambridge 1071
Trumbull 194
Loup City 1053
Brownville 139
Macy 1045
Max 50
Weeping Water 1029
Wausa 592
Lushton 28
Arapahoe 1002
Tilden 992
Rushville 816
Belvidere 51
Beacon View 55
Red Cloud 962
Humphrey 857
Filley 124
Giltner 406
Oshkosh 809
Primrose 55
Royal 58
Doniphan 809
Humboldt 800
Hemingford 787
Emmet 46
Petersburg 332
Bassett 538
Juniata 748
Shelby 710
Elmwood 654
Loomis 391
Cedar Bluffs 615
McCool Junction 453
Polk 346
Palmer 439
Wilcox 330
Fairfield 330
Scotia 301
Cody 168
Chambers 288
Chapman 260
Bartley 270
Hoskins 263
Sholes 16
Ulysses 196
Clatonia 263
Dix 187
Avoca 178
Funk 175
Bee 171
Page 166
St. Helena 89
Ayr 83
Danbury 80
Julian 46
Anoka 10
Monowi 2
Dixon 77
Abie 65
Burr 52
Burton 11
Seneca 49
Ames 14
